domain,city,state,type,org,status,bid_url,platform,checked_date
salecityga.gov,Sale City,GA,City,City of Sale City,not_found,,,2026-08-11
cityofclaytonga.gov,Clayton,GA,City,City of Clayton,not_found,,,2026-08-11
bloomingdale-ga.gov,Bloomingdale,GA,City,City of Bloomingdale,not_found,,,2026-08-11
algonaiowa.gov,Algona,IA,City,City of Algona,found,https://algonaiowa.gov/Bids.aspx,civicplus,2026-08-11
raycityga.gov,Ray City,GA,City,City of Ray City,not_found,,,2026-08-11
atlantaga.gov,Atlanta,GA,City,City of Atlanta,not_found,,,2026-08-11
hamiltonga.gov,Hamilton,GA,City,City of Hamilton,not_found,,,2026-08-11
tuckerga.gov,Tucker,GA,City,"City of Tucker, GA",found,https://tuckerga.gov/bids,agency,2026-08-11
cityofnichollsga.gov,Nicholls,GA,City,City Of Nicholls,not_found,,,2026-08-11
hazlehurstga.gov,Hazlehurst,GA,City,City of Hazlehurst,not_found,,,2026-08-11
sugarhillga.gov,Sugar Hill,GA,City,City of Sugar Hill,not_found,,,2026-08-11
fairmountga.gov,Fairmount,GA,City,City of Fairmount GA,not_found,,,2026-08-11
hawkinsvillega.gov,Hawkinsville,GA,City,City of Hawkinsville,not_found,,,2026-08-11
sandersvillega.gov,Sandersville,GA,City,City of Sandersville,not_found,,,2026-08-11
lbts-fl.gov,Lauderdale-By-The-Sea,FL,City,Town of Lauderdale-By-The-Sea,not_found,,,2026-08-11
grimesiowa.gov,Grimes,IA,City,City of Grimes,found,https://grimesiowa.gov/Bids.aspx,civicplus,2026-08-11
normanparkga.gov,Norman Park,GA,City,City of Norman Park,not_found,,,2026-08-11
fortdodge.gov,Fort Dodge,IA,City,"City of Fort Dodge, Iowa",found,https://fortdodge.gov/Bids.aspx,civicplus,2026-08-11
indianolaiowa.gov,Indianola,IA,City,City of Indianola,found,https://indianolaiowa.gov/Bids.aspx,civicplus,2026-08-11
independenceia.gov,Independence,IA,City,City of Independence,found,https://independenceia.gov/Bids.aspx,civicplus,2026-08-11
cityofpsl.gov,Port St. Lucie,FL,City,City of Port Saint Lucie,not_found,,,2026-08-11
trentonga.gov,trenton,GA,City,City of Trenton,not_found,,,2026-08-11
cityofsouthfultonga.gov,South Fulton,GA,City,City of South Fulton,not_found,,,2026-08-11
warmspringsga.gov,Warm Springs,GA,City,City of Warm Springs GA,not_found,,,2026-08-11
quitmanga.gov,Quitman,GA,City,City of Quitman,found,https://quitmanga.gov/open-bids,agency,2026-08-11
lavoniaga.gov,Lavonia,GA,City,City of Lavonia,not_found,,,2026-08-11
villarica.gov,VILLA RICA,GA,City,Villa Rica,found,https://villarica.gov/departments/finance/purchasing/bid_opportunities.php,agency,2026-08-11
aplingtonpolice.gov,APLINGTON,IA,City,Aplington Police Department,not_found,,,2026-08-11
coralville.gov,Coralville,IA,City,City of Coralville,not_found,,,2026-08-11
warnerrobinsga.gov,Warner Robins,GA,City,City of Warner Robins,not_found,,,2026-08-11
decorahia.gov,Decorah,IA,City,City of Decorah,not_found,,,2026-08-11
tennille-ga.gov,Tennille,GA,City,City Of Tennille,not_found,,,2026-08-11
bellevueia.gov,Bellevue,IA,City,"City of Bellevue, Iowa",not_found,,,2026-08-11
locustgrove-ga.gov,Locust Grove,GA,City,City of Locust Grove,not_found,,,2026-08-11
sharpsburg-ga.gov,Sharpsburg,GA,City,Town of Sharpsburg,not_found,,,2026-08-11
lithoniacity.gov,Lithonia,GA,City,Lithonia,not_found,,,2026-08-11
knoxvilleia.gov,Knoxville,IA,City,City of Knoxville,found,https://knoxvilleia.gov/Bids.aspx,civicplus,2026-08-11
monroega.gov,Monroe,GA,City,City of Monroe,not_found,,,2026-08-11
ainsworthiowa.gov,Ainsworth,IA,City,City of Ainsworth,not_found,,,2026-08-11
stmarysga.gov,St. Marys,GA,City,City of St. Marys,found,https://stmarysga.gov/departments/finance/current_bid_opportunities.php,agency,2026-08-11
leclaireiowa.gov,LeClaire,IA,City,"City of LeClaire, Iowa",found,https://leclaireiowa.gov/Bids.aspx,civicplus,2026-08-11
cambridgeia.gov,Cambridge,IA,City,City of Cambridge,not_found,,,2026-08-11
fairfieldiowa.gov,Fairfield,IA,City,City of Fairfield,not_found,,,2026-08-11
avocaiowa.gov,Avoca,IA,City,"City of Avoca, Iowa",not_found,,,2026-08-11
muscatineiowa.gov,Muscatine,IA,City,City of Muscatine,found,https://muscatineiowa.gov/Bids.aspx,civicplus,2026-08-11
marshalltown-ia.gov,Marshalltown,IA,City,City of Marshalltown,found,https://marshalltown-ia.gov/Bids.aspx,civicplus,2026-08-11
fruitlandia.gov,Fruitland,IA,City,City of Fruitland Iowa,not_found,,,2026-08-11
fortatkinsonia.gov,Fort Atkinson,IA,City,City of Fort Atkinson,not_found,,,2026-08-11
woodstockga.gov,Woodstock,GA,City,City of Woodstock,not_found,,,2026-08-11
belmondpdia.gov,Belmond,IA,City,Belmond Police Department,not_found,,,2026-08-11
statesboroga.gov,Statesboro,GA,City,City of Statesboro,found,https://statesboroga.gov/departments/central_services/purchasing_bids.php,agency,2026-08-11
miltonga.gov,Milton,GA,City,City of MIlton,not_found,,,2026-08-11
tyronega.gov,Tyrone,GA,City,Town of Tyrone,found,https://tyronega.gov/administration/items-bid/bid-item-rfq-dda-2023-01-fire-station-redevelopment,agency,2026-08-11
palmettobay-fl.gov,Palmetto Bay,FL,City,Village of Palmetto Bay,not_found,,,2026-08-11
booneiowa.gov,Boone,IA,City,City of Boone,not_found,,,2026-08-11
clarksvilleiowa.gov,Clarksville,IA,City,City of Clarksville,not_found,,,2026-08-11
bettendorf.gov,Bettendorf,IA,City,"City of Bettendorf, IA",not_found,,,2026-08-11
winterset.gov,Winterset,IA,City,City of Winterset,found,https://winterset.gov/Bids.aspx,civicplus,2026-08-11
ciww.gov,Des Moines,IA,City,Des Moines Water Works,found,https://ciww.gov/rfp,agency,2026-08-11
belleplaineiowa.gov,Belle Plaine,IA,City,City of Belle Plaine,not_found,,,2026-08-11
lakemillsiowa.gov,Lake Mills,IA,City,City of Lake Mills,found,https://lakemillsiowa.gov/Bids.aspx,civicplus,2026-08-11
colfaxia.gov,Colfax,IA,City,City of Colfax,not_found,,,2026-08-11
warrentonga.gov,Warrenton,GA,City,City of Warrenton,not_found,,,2026-08-11
holsteinia.gov,Holstein,IA,City,City of Holstein,not_found,,,2026-08-11
grangeriowa.gov,Granger,IA,City,City of Granger,not_found,,,2026-08-11
westburlingtoniowa.gov,West Burlington,IA,City,City of West Burlington,found,https://westburlingtoniowa.gov/Bids.aspx,civicplus,2026-08-11
masoncityiowa.gov,Mason City,IA,City,City of Mason City,found,https://masoncityiowa.gov/Bids.aspx,civicplus,2026-08-11
cityofallisonia.gov,Allison,IA,City,"City of Allison, IA",not_found,,,2026-08-11
grinnelliowa.gov,Grinnell,IA,City,City of Grinnell,not_found,,,2026-08-11
fredoniaiowa.gov,Fredonia,IA,City,City of Fredonia,not_found,,,2026-08-11
adairia.gov,Adair,IA,City,City of Adair,not_found,,,2026-08-11
ruthvenfire.gov,Ruthven,IA,City,Ruthven Fire Department,not_found,,,2026-08-11
rossvillega.gov,Rossville,GA,City,"City of Rossville, GA",not_found,,,2026-08-11
sandyspringsgapolice.gov,Sandy Springs,GA,City,Sandy Springs Police Department,not_found,,,2026-08-11
portwentworthga.gov,Port Wentworth,GA,City,City of Port Wentworth,not_found,,,2026-08-11
jacksonvillega.gov,Jacksonville,GA,City,City of Jacksonville,not_found,,,2026-08-11
honolulu.gov,Honolulu,HI,City,City and County of Honolulu,not_found,,,2026-08-11
parkersburgiapolice.gov,Parkersburg,IA,City,Parkersburg Police Department,not_found,,,2026-08-11
cityofglenwoodia.gov,Glenwood,IA,City,City of Glenwood,not_found,,,2026-08-11
cityofmarionia.gov,Marion,IA,City,City of Marion,not_found,,,2026-08-11
grandjunctioniowa.gov,Grand Junction,IA,City,City of Grand Junction,not_found,,,2026-08-11
owasaiowa.gov,Iowa Falls,IA,City,Owasa Iowa,not_found,,,2026-08-11
mtvernonlisbonpd-ia.gov,Mount Vernon,IA,City,Mount Vernon-Lisbon Police Department,not_found,,,2026-08-11
lyonsga.gov,Lyons,GA,City,City of Lyons,found,https://lyonsga.gov/services/bids.php,agency,2026-08-11
waukee.gov,Waukee,IA,City,City of Waukee,found,https://waukee.gov/Bids.aspx,civicplus,2026-08-11
smyrnaga.gov,Smyrna,GA,City,City of Smyrna,not_found,,,2026-08-11
centralcityia.gov,Central City,IA,City,City of Central City,not_found,,,2026-08-11
crestoniowa.gov,Creston,IA,City,City of Creston Iowa,not_found,,,2026-08-11
stuartia.gov,Stuart,IA,City,City of Stuart,not_found,,,2026-08-11
idahofallsidaho.gov,Idaho Falls,ID,City,City of Idaho Falls,found,https://idahofallsidaho.gov/Bids.aspx,civicplus,2026-08-11
cityofjohnston.gov,Johnston,IA,City,City of Johnston,not_found,,,2026-08-11
ketchumidaho.gov,Ketchum,ID,City,City of Ketchum,found,https://ketchumidaho.gov/Bids.aspx,civicplus,2026-08-11
wapelloia.gov,Wapello,IA,City,IT Department,not_found,,,2026-08-11
postfalls.gov,Post Falls,ID,City,City of Post Falls,found,https://postfalls.gov/Bids.aspx,civicplus,2026-08-11
cityofguttenbergia.gov,Guttenberg,IA,City,City of Guttenberg,not_found,,,2026-08-11
pocatello.gov,Pocatello,ID,City,City of Pocatello,found,https://pocatello.gov/Bids.aspx,civicplus,2026-08-11
postfallspolice.gov,Post FAlls,ID,City,Post Falls Police Department,found,https://postfallspolice.gov/Bids.aspx,civicplus,2026-08-11
legrand-ia.gov,Le Grand,IA,City,City of Le Grand,not_found,,,2026-08-11
pooler-ga.gov,Pooler,GA,City,City of Pooler,found,https://www.pooler-ga.gov/resources/bids-proposals/,agency,2026-08-11
socialcirclega.gov,Social Circle,GA,City,"City of Social Circle, Georgia",not_found,,,2026-08-11
orleansiowa.gov,Orleans,IA,City,City of Orleans,not_found,,,2026-08-11
sandyspringsga.gov,Sandy Springs,GA,City,City of Sandy Springs,not_found,,,2026-08-11
toledoiowa.gov,Toledo,IA,City,City of Toledo,not_found,,,2026-08-11
stuartrescueia.gov,Stuart,IA,City,Stuart Rescue Department,not_found,,,2026-08-11
griswoldia.gov,Griswold,IA,City,City of Griswold,not_found,,,2026-08-11
carterlake-ia.gov,Carter Lake,IA,City,City of Carter Lake,not_found,,,2026-08-11
dasherga.gov,Valdosta,GA,City,"City of Dasher, Georgia",not_found,,,2026-08-11
arcoidaho.gov,Arco,ID,City,City of Arco,not_found,,,2026-08-11
idahofalls.gov,Idaho Falls,ID,City,City of Idaho Falls,found,https://idahofalls.gov/Bids.aspx,civicplus,2026-08-11
cityofringgoldga.gov,Ringgold,GA,City,City of Ringgold,found,https://cityofringgoldga.gov/bid-advertisements,agency,2026-08-11
cityoflisbon-ia.gov,Lisbon,IA,City,City of Lisbon,not_found,,,2026-08-11
tamacityia.gov,Tama,IA,City,City of Tama,not_found,,,2026-08-11
clearcreektownshipia.gov,Oxford,IA,City,Clear Creek Township,not_found,,,2026-08-11
cityofwoodburyga.gov,Woodbury,GA,City,City of Woodbury,not_found,,,2026-08-11
hartleyiowa.gov,Hartley,IA,City,City of Hartley,not_found,,,2026-08-11
bellevueidaho.gov,Bellevue,ID,City,City of Bellevue,found,https://bellevueidaho.gov/bids,agency,2026-08-11
wadleyga.gov,Wadley,GA,City,City of Wadley,found,https://wadleyga.gov/bid-opportunities-proposals/,agency,2026-08-11
sheldoniowa.gov,Sheldon,IA,City,City Of Sheldon,not_found,,,2026-08-11
vintonia.gov,Vinton,IA,City,City of Vinton IA,not_found,,,2026-08-11
drummondid.gov,Ashton,ID,City,"City of Drummond, Idaho",not_found,,,2026-08-11
ocheyedaniowa.gov,Ocheyedan,IA,City,City of Ocheyedan,not_found,,,2026-08-11
ammonidaho.gov,Ammon,ID,City,City of Ammon,not_found,,,2026-08-11
gardencity-ga.gov,Garden City,GA,City,City of Garden City,found,https://www.gardencity-ga.gov/Business/Purchasing,agency,2026-08-11
wrga.gov,Warner Robins,GA,City,City of Warner Robins,not_found,,,2026-08-11
riversideiowa.gov,Riverside,IA,City,"City of Riverside, IA",not_found,,,2026-08-11
siouxcenteria.gov,Sioux Center,IA,City,City of Sioux Center,not_found,,,2026-08-11
danaia.gov,Grand Junction,IA,City,City of Dana,not_found,,,2026-08-11
cityoffairfieldidaho.gov,Fairfield,ID,City,City of Fairfield,not_found,,,2026-08-11
williamsburgiowa.gov,Williamsburg,IA,City,City of Williamsburg,not_found,,,2026-08-11
redfieldia.gov,Redfield,IA,City,City of Redfield,not_found,,,2026-08-11
cityofdeclo.gov,Declo,ID,City,City of Declo,not_found,,,2026-08-11
cityofmtvernon-ia.gov,Mount Vernon,IA,City,City of Mount Vernon,not_found,,,2026-08-11
cityoforofino.gov,Orofino,ID,City,City of Orofino Police Department,not_found,,,2026-08-11
boiseidaho.gov,Boise,ID,City,City of Boise,not_found,,,2026-08-11
clarioniowa.gov,Clarion,IA,City,"City of Clarion, Iowa",not_found,,,2026-08-11
aledoil.gov,Aledo,IL,City,City of Aledo,found,https://aledoil.gov/Bids.aspx,civicplus,2026-08-11
lowden.gov,"Lowden, IA",IA,City,City of Lowden,not_found,,,2026-08-11
tallulahfallsga.gov,Tallulah Falls,GA,City,Town of Tallulah Falls,found,https://tallulahfallsga.gov/rfp,agency,2026-08-11
nampaidaho.gov,Nampa,ID,City,City of Nampa,not_found,,,2026-08-11
nampa.gov,Nampa,ID,City,City of Nampa,not_found,,,2026-08-11
wyomingia.gov,Wyoming,IA,City,"City of Wyoming, Iowa",not_found,,,2026-08-11
bensenville.gov,Bensenville,IL,City,Village of Bensenville,found,https://bensenville.gov/Bids.aspx,civicplus,2026-08-11
cityoftybee.gov,Tybee Island,GA,City,City of Tybee Island,not_found,,,2026-08-11
rathdrum.gov,Rathdrum,ID,City,City of Rathdrum,not_found,,,2026-08-11
adeliowa.gov,Adel,IA,City,City of Adel,not_found,,,2026-08-11
clarkforkidaho.gov,Clark Fork,ID,City,City of Clark Fork,not_found,,,2026-08-11
maharishivediccity-iowa.gov,Maharishi Vedic City,IA,City,Maharishi Vedic City,not_found,,,2026-08-11
wiltoniowa.gov,Wilton,IA,City,City of Wilton,not_found,,,2026-08-11
haydenid.gov,Hayden,ID,City,City of Hayden,not_found,,,2026-08-11
councilbluffs-ia.gov,Council Bluffs,IA,City,City of Council Bluffs,found,https://cbiabids.ionwave.net/Login.aspx,custom,2026-08-11
vanmeteria.gov,Van Meter,IA,City,"City of Van Meter, Iowa",found,https://vanmeteria.gov/rfp,agency,2026-08-11
wga.gov,Washington,GA,City,City of Washington,not_found,,,2026-08-11
snellville.gov,Snellville,GA,City,City of Snellville,found,https://snellville.gov/administration/bid-information,agency,2026-08-11
cityofrigby.gov,Rigby,ID,City,City of Rigby,found,https://cityofrigby.gov/bids-and-rfps,agency,2026-08-11
belvidereil.gov,Bevlvidere,IL,City,City of Belvidere,found,https://belvidereil.gov/Bids.aspx,civicplus,2026-08-11
athensil.gov,Athens,IL,City,City of Athens,not_found,,,2026-08-11
cedartowngeorgia.gov,Cedartown,GA,City,City of Cedartown,not_found,,,2026-08-11
burbankil.gov,Burbank,IL,City,The City of Burbank Illinois,found,https://burbankil.gov/Bids.aspx,civicplus,2026-08-11
sandpointidaho.gov,Sandpoint,ID,City,City of Sandpoint,not_found,,,2026-08-11
nampapolice.gov,Nampa,ID,City,Nampa Police Department,not_found,,,2026-08-11
eaglegrove.gov,Eagle Grove,IA,City,City of Eagle Grove,not_found,,,2026-08-11
mariontwplinncoia.gov,Marion,IA,City,Marion Township,not_found,,,2026-08-11
tallapoosaga.gov,Tallapoosa,GA,City,City Of Tallapoosa,found,https://tallapoosaga.gov/job-opportunities-bids/,agency,2026-08-11
kunaid.gov,Kuna,ID,City,City of Kuna,not_found,,,2026-08-11
ashtonid.gov,Ashton,ID,City,City of Ashton ID,not_found,,,2026-08-11
carpentersvilleil.gov,Carpentersville,IL,City,Village of Carpentersville,found,https://carpentersvilleil.gov/Bids.aspx,civicplus,2026-08-11
cityofaltonil.gov,Alton,IL,City,City of Alton,found,https://cityofaltonil.gov/bids,agency,2026-08-11
cecilga.gov,Cecil,GA,City,City of Cecil,not_found,,,2026-08-11
washingtoniowa.gov,Washington,IA,City,City of Washington,not_found,,,2026-08-11
cityofhaydenlake.gov,HAYDEN LAKE,ID,City,CITY OF HAYDEN LAKE,not_found,,,2026-08-11
antiochtownshipil.gov,Antioch,IL,City,Antioch Township,not_found,,,2026-08-11
shoshonecityid.gov,Shoshone,ID,City,City of Shoshone,not_found,,,2026-08-11
uconidaho.gov,Ucon,ID,City,City of Ucon,not_found,,,2026-08-11
columbiail.gov,Columbia,IL,City,City of Columbia,found,https://columbiail.gov/Bids.aspx,civicplus,2026-08-11
cityofbrookportil.gov,Brookport,IL,City,City of Brookport,not_found,,,2026-08-11
arthur-il.gov,Arthur,IL,City,"Village of Arthur, IL",not_found,,,2026-08-11
victoridaho.gov,Victor,ID,City,City of Victor,found,https://victoridaho.gov/bids,agency,2026-08-11
champaignil.gov,Champaign,IL,City,City of Champaign,found,https://champaignil.gov/bids,agency,2026-08-11
belviderepoliceil.gov,Belvidere,IL,City,Belvidere Police,not_found,,,2026-08-11
decaturil.gov,Decatur,IL,City,City of Decatur Illinois,found,https://decaturil.gov/Bids.aspx,civicplus,2026-08-11
bedfordpark.gov,Bedford Park,IL,City,Village of Bedford Park,not_found,,,2026-08-11
sanborniowa.gov,Sanborn,IA,City,City of Sanborn,not_found,,,2026-08-11
villageofbradfordil.gov,Bradford,IL,City,Village of Bradford,not_found,,,2026-08-11
barringtontwpil.gov,Barrington,IL,City,Barrington Township,not_found,,,2026-08-11
polkcityia.gov,Polk City,IA,City,City of Polk City,not_found,,,2026-08-11
barrington-il.gov,Barrington,IL,City,Village of Barrington,not_found,,,2026-08-11
bedfordparkfd.gov,Bedford Park,IL,City,Village of Bedford Park Fire,not_found,,,2026-08-11
bentonil.gov,Benton,IL,City,City of Benton,not_found,,,2026-08-11
cityofchampaignil.gov,Champaign,IL,City,City of Champaign,not_found,,,2026-08-11
chesterilpolice.gov,Chester,IL,City,Chester Police Department,not_found,,,2026-08-11
firthidaho.gov,Firth,ID,City,"City of Firth, Idaho",not_found,,,2026-08-11
northlibertyiowa.gov,North Liberty,IA,City,City of North Liberty,not_found,,,2026-08-11
dearingga.gov,Dearing,GA,City,Town of Dearing,not_found,,,2026-08-11
keepcooloahu.gov,Honolulu,HI,City,"City and County of Honolulu Office of Climate Change, Sustainability and Resiliency",not_found,,,2026-08-11
columbusjctia.gov,Columbus Junction,IA,City,City of Columbus Junction Iowa,not_found,,,2026-08-11
villageofbraceville.gov,Braceville,IL,City,Village of Braceville,not_found,,,2026-08-11
villageofcarbonhill-il.gov,Carbon Hill,IL,City,Village of Carbon Hill,not_found,,,2026-08-11
champaign-il.gov,Champaign,IL,City,City of Champaign,not_found,,,2026-08-11
broadview-il.gov,Broadview,IL,City,Village of Broadview,not_found,,,2026-08-11
cherryil.gov,Cherry,IL,City,"Village of Cherry, Illinois",not_found,,,2026-08-11
darienil.gov,Darien,IL,City,City of Darien,not_found,,,2026-08-11
garwiniowa.gov,Garwin,IA,City,City of Garwin,not_found,,,2026-08-11
broadlandsil.gov,Broadlands,IL,City,The Village of Broadlands,not_found,,,2026-08-11
hawkeyeia.gov,Hawkeye,IA,City,City of Hawkeye,not_found,,,2026-08-11
chathamil.gov,Chatham,IL,City,Village of Chatham,not_found,,,2026-08-11
hacpid.gov,Pocatello,ID,City,Housing Alliance and Community Partnerships,not_found,,,2026-08-11
glencarbonil.gov,Glen Carbon,IL,City,Village of Glen Carbon,found,https://glencarbonil.gov/Bids.aspx,civicplus,2026-08-11
cresthill.gov,Crest Hill,IL,City,City of Crest Hill,not_found,,,2026-08-11
cityofstanleyid.gov,Stanley,ID,City,City of Stanley,not_found,,,2026-08-11
bridgeview-il.gov,Bridgeview,IL,City,Village of Bridgeview,found,https://bridgeview-il.gov/wp-content/uploads/2025/04/RFP-for-Body-Worn-Cameras-FINAL.pdf,agency,2026-08-11
cityofrockwellcity.gov,Rockwell City,IA,City,City of Rockwell City,not_found,,,2026-08-11
villageofdakotail.gov,DAKOTA,IL,City,Village of Dakota,not_found,,,2026-08-11
cityofchampaign-il.gov,Champaign,IL,City,City of Champaign,not_found,,,2026-08-11
cityoflapwai.gov,Lapwai,ID,City,City of Lapwai,not_found,,,2026-08-11
unioncityga.gov,Union City,GA,City,City of Union City,found,https://www.unioncityga.gov/Departments/Finance/Procurement,agency,2026-08-11
cityofwashingtonga.gov,Washington,GA,City,City of Washington,not_found,,,2026-08-11
elginil.gov,Elgin,IL,City,"City of Elgin, Illinois",found,https://elginil.gov/bids,agency,2026-08-11
christopherpolice.gov,CHRISTOPHER,IL,City,CHRISTOPHER POLICE DEPARTMENT,not_found,,,2026-08-11
brookfieldil.gov,Brookfield,IL,City,Village Of Brookfield,found,https://brookfieldil.gov/business/bid_opportunities.php,agency,2026-08-11
chicago.gov,Chicago,IL,City,City of Chicago,found,https://chicago.gov/bids,agency,2026-08-11
barringtonhills-il.gov,Barrington Hills,IL,City,Village of Barrington Hills,not_found,,,2026-08-11
chatsworthil.gov,Chatsworth,IL,City,Town of Chatsworth,not_found,,,2026-08-11
cubatwpil.gov,Barrington,IL,City,Cuba Township,not_found,,,2026-08-11
burr-ridge.gov,Burr Ridge,IL,City,Village of Burr Ridge,found,https://burr-ridge.gov/business/bid_opportunities.php,agency,2026-08-11
spiritlakeid.gov,Spirit Lake,ID,City,City of Spirit Lake,not_found,,,2026-08-11
altontownshipil.gov,Alton,IL,City,Alton Township Supervisor's Office,not_found,,,2026-08-11
coalcity-il.gov,Coal City,IL,City,Village of Coal City,not_found,,,2026-08-11
bolingbrook.gov,BolingBrook,IL,City,Village of Bolingbrook,not_found,,,2026-08-11
mcdonough-ga.gov,McDonough,GA,City,City of McDonough,not_found,,,2026-08-11
cityofcolchesteril.gov,Colchester,IL,City,City of Colchester,not_found,,,2026-08-11
dowellillinois.gov,Dowell,IL,City,Village of Dowell,not_found,,,2026-08-11
eldoradoil.gov,Eldorado,IL,City,City of Eldorado,not_found,,,2026-08-11
villageofequalityil.gov,EQUALITY,IL,City,"Village of Equality, Illinois",not_found,,,2026-08-11
eurekaillinois.gov,Eureka,IL,City,City of Eureka,not_found,,,2026-08-11
villageofdepue.gov,Depue,IL,City,Village of Depue,not_found,,,2026-08-11
villageofdunlap-il.gov,Dunlap,IL,City,Village of Dunlap,not_found,,,2026-08-11
lagrangeil.gov,La Grange,IL,City,Village of La Grange,found,https://lagrangeil.gov/Bids.aspx,civicplus,2026-08-11
villageofdurandil.gov,Durand,IL,City,Village of Durand,not_found,,,2026-08-11
florapdil.gov,Flora,IL,City,Flora Police Department,not_found,,,2026-08-11
beckemeyeril.gov,Beckemeyer,IL,City,City of Beckemeyer,not_found,,,2026-08-11
rexburgid.gov,Rexburg,ID,City,The City of Rexburg,not_found,,,2026-08-11
harvardil.gov,Harvard,IL,City,City of Harvard,not_found,,,2026-08-11
grayville-il.gov,Grayville,IL,City,City of Grayville,found,https://grayville-il.gov/bids,agency,2026-08-11
cityofnezperce.gov,Nezperce,ID,City,City of Nezperce,not_found,,,2026-08-11
bartlettil.gov,Bartlett,IL,City,Village of Bartlett,not_found,,,2026-08-11
oldtowntownship-il.gov,Downs,IL,City,Old Town Township,not_found,,,2026-08-11
cityoffarmingtonil.gov,Farmington,IL,City,City of Farmington,not_found,,,2026-08-11
blackberrytwpil.gov,Elburn,IL,City,Blackberry Township,not_found,,,2026-08-11
dixillinois.gov,Dix,IL,City,Village of Dix,not_found,,,2026-08-11
sugarcityidaho.gov,Sugar City,ID,City,"City of Sugar City, Idaho",not_found,,,2026-08-11
fairviewheightsil.gov,Fairview Heights,IL,City,"City of Fairview Heights, IL",not_found,,,2026-08-11
vbhil.gov,Barrington Hills,IL,City,Village of Barrington Hills,not_found,,,2026-08-11
duquoinil.gov,Du Quoin,IL,City,City of Du Quoin,not_found,,,2026-08-11
divernonil.gov,Divernon,IL,City,Village of Divernon,not_found,,,2026-08-11
grafton-il.gov,Grafton,IL,City,City of Grafton Illinois,not_found,,,2026-08-11
elatownship.gov,Lake Zurich,IL,City,Ela Township,found,https://elatownship.gov/bids,agency,2026-08-11
lyonstownshipil.gov,Countryside,IL,City,Lyons Township,not_found,,,2026-08-11
cityofatlantail.gov,ATLANTA,IL,City,CITY OF ATLANTA,not_found,,,2026-08-11
villageofeastaltonil.gov,East Alton,IL,City,Village of East Alton,not_found,,,2026-08-11
sunvalleyidaho.gov,Sun Valley,ID,City,City of Sun Valley,not_found,,,2026-08-11
bishophillil.gov,Bishop Hill,IL,City,Village of Bishop Hill,not_found,,,2026-08-11
braidwood.gov,Braidwood,IL,City,City of Braidwood,not_found,,,2026-08-11
villageofgranvilleil.gov,Granville,IL,City,Village of Granville,not_found,,,2026-08-11
homerglenil.gov,Homer Glen,IL,City,Village of Homer Glen,not_found,,,2026-08-11
duboisidaho.gov,Dubois,ID,City,"City of Dubois, Idaho",not_found,,,2026-08-11
bullvalleyil.gov,Bull Valley,IL,City,Village of Bull Valley,not_found,,,2026-08-11
burnham-il.gov,Burnham,IL,City,Village of Burnham,not_found,,,2026-08-11
berwyn-il.gov,Berwyn,IL,City,City of Berwyn,not_found,,,2026-08-11
waldo-township-il.gov,Gridley,IL,City,Waldo Township,not_found,,,2026-08-11
cityofharveyil.gov,Harvey,IL,City,City of Harvey,found,https://cityofharveyil.gov/bids,agency,2026-08-11
highlandil.gov,Highland,IL,City,City Of Highland Illinois,not_found,,,2026-08-11
bataviail.gov,Batavia,IL,City,City of Batavia,not_found,,,2026-08-11
carbondaleil.gov,Carbondale,IL,City,City of Carbondale,not_found,,,2026-08-11
hamiltonil.gov,Hamilton,IL,City,City of Hamilton,not_found,,,2026-08-11
hanafordil.gov,Logan,IL,City,Village of Hanaford,not_found,,,2026-08-11
grantforkil.gov,Highland,IL,City,Grantfork Police Department,not_found,,,2026-08-11
normalil.gov,Normal,IL,City,Town of Normal,found,https://normalil.gov/Bids.aspx,civicplus,2026-08-11
mackinawil.gov,Mackinaw,IL,City,Village of Mackinaw,found,https://mackinawil.gov/Bids.aspx,civicplus,2026-08-11
villageofgoreville.gov,Goreviile,IL,City,Village of Goreville,not_found,,,2026-08-11
hillsboroil.gov,Hillsboro,IL,City,City of Hillsboro,not_found,,,2026-08-11
priestriver-id.gov,Priest River,ID,City,City of Priest River,found,https://priestriver-id.gov/advertisements-for-bids,agency,2026-08-11
summervillega.gov,Summerville,GA,City,City of Summerville,not_found,,,2026-08-11
villageofhoyleton.gov,Hoyleton,IL,City,Village of Hoyleton,not_found,,,2026-08-11
ashmore.gov,Ashmore,IL,City,Village of Ashmore,not_found,,,2026-08-11
jacksonvilleil.gov,Jacksonville,IL,City,CIty of Jacksonville,not_found,,,2026-08-11
cityoflewistownil.gov,Lewistown,IL,City,City of Lewistown Illinois,not_found,,,2026-08-11
waverlyhallga.gov,Waverly Hall,GA,City,Town of Waverly Hall,not_found,,,2026-08-11
marissapd.gov,Marissa,IL,City,Marissa Police Department,not_found,,,2026-08-11
longgroveil.gov,Long Grove,IL,City,Village of Long Grove,not_found,,,2026-08-11
lanarkil.gov,Lanark,IL,City,City of Lanark,not_found,,,2026-08-11
marionilpd.gov,Marion,IL,City,Marion Police Department,not_found,,,2026-08-11
mokena.gov,Mokena,IL,City,Village of Mokena,not_found,,,2026-08-11
goodfieldil.gov,Goodfield,IL,City,Village of Goodfield,not_found,,,2026-08-11
marshall-il.gov,Marshall,IL,City,City of Marshall,not_found,,,2026-08-11
hainesil.gov,Kell,IL,City,Haines Township,not_found,,,2026-08-11
